build,computer.platform,date,time,subject,group,blockcode,blocknum,trialcode,trialnum,expressions.trialcount,parameters.digitpresentationtime,parameters.maskpresentationtime,values.trialtype,values.digit,values.fontsize,response,correct,values.RT,latency,values.latencytype,values.responsetype,values.count_anticipatory,values.correctsuppressions,values.count_NoGo,values.incorrectsuppressions,values.count_Go,values.count_validGo,values.dostim,radiobuttons.difficulty.response,radiobuttons.interest.response
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,1,1,25,90,practice_go,6,0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc,space,1,1134,1134,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,2,2,25,90,practice_go,4,0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc,space,1,1013,1013,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,3,3,25,90,practice_go,7,0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc,space,1,963,963,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,4,4,25,90,practice_go,1,0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc,space,1,892,892,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_nogo,5,5,25,90,practice_nogo,3,0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc,space,0,1046,1046,3,NoGo Failure,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,6,6,25,90,practice_go,5,0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc,space,1,1028,1028,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,7,7,25,90,practice_go,4,0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc,space,1,1051,1051,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,8,8,25,90,practice_go,9,0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc,space,1,960,960,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,9,9,25,90,practice_go,6,0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc,space,1,1016,1016,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,10,10,25,90,practice_go,5,0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc,space,1,1091,1091,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,11,11,25,90,practice_go,7,0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc,0,0,0,0,0,Omission,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,12,12,25,90,practice_go,8,0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc0.21ptc,space,1,979,979,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,13,13,25,90,practice_go,2,0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc,0,0,0,0,0,Omission,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,14,14,25,90,practice_go,9,0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc,space,1,1121,1121,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_nogo,15,15,25,90,practice_nogo,3,0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc0.1ptc,0,1,0,0,0,NoGo Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,16,16,25,90,practice_go,8,0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc0.16ptc,space,1,999,999,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,17,17,25,90,practice_go,1,0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc0.13ptc,space,1,955,955,3,Go Success,0,0,0,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,practice,0,practice_go,18,18,25,90,practice_go,2,0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc0.19ptc,space,1,986,986,3,Go Success,0,0,0,0,0,0,0,0,0
